"district_hospital_uuid","district_hospital_name","health_center_uuid","health_center_name","clinic_uuid","clinic_name","period_start","period_start_epoch","facility_join_field","count_population_female_btwn_15_and_49","count_fp_screened","count_fp_referrals","percent_fp_referrals","count_successful_fp_referrals","percent_successful_fp_referrals","count_wcba_screen_fp","count_wcba_using_modern_fp","percent_wcba_screen_fp","percent_wcba_using_modern_fp","count_art_wcba_using_implant","count_art_wcba_using_condom","count_wcba_using_depo","count_wcba_using_injectibles","count_wcba_using_pills","count_wcba_using_tube_ligation","count_wcba_using_iucd","count_wcba_using_implant","count_pregnancies_registered","count_pregnancies_visited","percent_pregnancies_visited","count_anc_danger_signs_bleeding","count_anc_danger_signs_swelling","count_anc_danger_signs_fever","count_anc_danger_signs_headaches_dizziness_blurry_vision","count_anc_danger_signs_lower_abdominal_pain","count_anc_danger_signs_convulsions","count_pregnancies_registered_first_trimester","percent_pregnancies_registered_first_trimester","count_births_registered","count_births_with_gte_4_anc_visits","percent_births_with_gte_4_anc_visits","count_births_at_home","count_births_enroute_facility","percent_births_at_home","percent_births_enroute_facility","count_pnc_danger_signs_convulsions","count_pnc_danger_signs_vaginal_bleeding","count_pnc_danger_signs_foul_vaginal_discharge","count_pnc_danger_signs_headache","count_pnc_danger_signs_fever","count_pnc_danger_signs_at_3_days","count_pnc_danger_signs_at_5_days","count_pnc_women","count_pnc_women_with_gte_2_visits","percent_pnc_women_with_gte_2_visits","count_maternal_deaths","count_maternal_deaths_community","percent_maternal_deaths_community"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","010fc3cf-09f7-4b16-9543-a60dfd00f158","Alexina Valaliano Area","All","All","01-Oct-2018","1538352000","010fc3cf-09f7-4b16-9543-a60dfd00f158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","010fc3cf-09f7-4b16-9543-a60dfd00f158","Alexina Valaliano Area","All","All","01-Nov-2018","1541030400","010fc3cf-09f7-4b16-9543-a60dfd00f158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","010fc3cf-09f7-4b16-9543-a60dfd00f158","Alexina Valaliano Area","All","All","01-Dec-2018","1543622400","010fc3cf-09f7-4b16-9543-a60dfd00f158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","010fc3cf-09f7-4b16-9543-a60dfd00f158","Alexina Valaliano Area","All","All","01-Jan-2019","1546300800","010fc3cf-09f7-4b16-9543-a60dfd00f158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","010fc3cf-09f7-4b16-9543-a60dfd00f158","Alexina Valaliano Area","All","All","01-Feb-2019","1548979200","010fc3cf-09f7-4b16-9543-a60dfd00f158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","010fc3cf-09f7-4b16-9543-a60dfd00f158","Alexina Valaliano Area","All","All","01-Mar-2019","1551398400","010fc3cf-09f7-4b16-9543-a60dfd00f158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","010fc3cf-09f7-4b16-9543-a60dfd00f158","Alexina Valaliano Area","All","All","01-Apr-2019","1554076800","010fc3cf-09f7-4b16-9543-a60dfd00f158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","b60bc321-4234-4883-b082-30e9d88228d2","Alick Chimombo Area","All","All","01-Oct-2018","1538352000","b60bc321-4234-4883-b082-30e9d88228d2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","b60bc321-4234-4883-b082-30e9d88228d2","Alick Chimombo Area","All","All","01-Nov-2018","1541030400","b60bc321-4234-4883-b082-30e9d88228d2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","b60bc321-4234-4883-b082-30e9d88228d2","Alick Chimombo Area","All","All","01-Dec-2018","1543622400","b60bc321-4234-4883-b082-30e9d88228d2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","b60bc321-4234-4883-b082-30e9d88228d2","Alick Chimombo Area","All","All","01-Jan-2019","1546300800","b60bc321-4234-4883-b082-30e9d88228d2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","b60bc321-4234-4883-b082-30e9d88228d2","Alick Chimombo Area","All","All","01-Feb-2019","1548979200","b60bc321-4234-4883-b082-30e9d88228d2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","b60bc321-4234-4883-b082-30e9d88228d2","Alick Chimombo Area","All","All","01-Mar-2019","1551398400","b60bc321-4234-4883-b082-30e9d88228d2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","b60bc321-4234-4883-b082-30e9d88228d2","Alick Chimombo Area","All","All","01-Apr-2019","1554076800","b60bc321-4234-4883-b082-30e9d88228d2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","81723347-0ec1-48f5-8429-40fb21652a5f","Allason Kamenula Area","All","All","01-Oct-2018","1538352000","81723347-0ec1-48f5-8429-40fb21652a5f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","81723347-0ec1-48f5-8429-40fb21652a5f","Allason Kamenula Area","All","All","01-Nov-2018","1541030400","81723347-0ec1-48f5-8429-40fb21652a5f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","81723347-0ec1-48f5-8429-40fb21652a5f","Allason Kamenula Area","All","All","01-Dec-2018","1543622400","81723347-0ec1-48f5-8429-40fb21652a5f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","81723347-0ec1-48f5-8429-40fb21652a5f","Allason Kamenula Area","All","All","01-Jan-2019","1546300800","81723347-0ec1-48f5-8429-40fb21652a5f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","81723347-0ec1-48f5-8429-40fb21652a5f","Allason Kamenula Area","All","All","01-Feb-2019","1548979200","81723347-0ec1-48f5-8429-40fb21652a5f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","81723347-0ec1-48f5-8429-40fb21652a5f","Allason Kamenula Area","All","All","01-Mar-2019","1551398400","81723347-0ec1-48f5-8429-40fb21652a5f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","81723347-0ec1-48f5-8429-40fb21652a5f","Allason Kamenula Area","All","All","01-Apr-2019","1554076800","81723347-0ec1-48f5-8429-40fb21652a5f","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","aa010836-1213-4537-b8fd-2b995dc6c87c","Allena Peter Area","All","All","01-Oct-2018","1538352000","aa010836-1213-4537-b8fd-2b995dc6c87c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","aa010836-1213-4537-b8fd-2b995dc6c87c","Allena Peter Area","All","All","01-Nov-2018","1541030400","aa010836-1213-4537-b8fd-2b995dc6c87c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","aa010836-1213-4537-b8fd-2b995dc6c87c","Allena Peter Area","All","All","01-Dec-2018","1543622400","aa010836-1213-4537-b8fd-2b995dc6c87c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","aa010836-1213-4537-b8fd-2b995dc6c87c","Allena Peter Area","All","All","01-Jan-2019","1546300800","aa010836-1213-4537-b8fd-2b995dc6c87c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","aa010836-1213-4537-b8fd-2b995dc6c87c","Allena Peter Area","All","All","01-Feb-2019","1548979200","aa010836-1213-4537-b8fd-2b995dc6c87c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","aa010836-1213-4537-b8fd-2b995dc6c87c","Allena Peter Area","All","All","01-Mar-2019","1551398400","aa010836-1213-4537-b8fd-2b995dc6c87c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","aa010836-1213-4537-b8fd-2b995dc6c87c","Allena Peter Area","All","All","01-Apr-2019","1554076800","aa010836-1213-4537-b8fd-2b995dc6c87c","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7eb9a493-dea1-4b7c-9207-d89006faa150","Dambe Facility","6ee0ff79-f995-4f3b-bb44-4eecad7b58e1","Aluencio Chikalema Area","All","All","01-Oct-2018","1538352000","6ee0ff79-f995-4f3b-bb44-4eecad7b58e1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
